Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Liepa          Balciunaite    7         1         3         7         1         7         10        9         10        7         9         3         8         5         2         2         
Sandra         Jankauskaite   6         4         1         4         6         10        9         3         6         5         10        8         1         9         9         7         
Augustas       Kazlauskas     8         9         1         4         10        4         3         9         1         4         3         10        1         8         10        3         
Liepa          Pociute        4         2         9         9         8         10        10        2         7         4         10        9         3         8         1         1         
Arvydas        Navickas       5         3         6         5         8         5         2         2         10        3         4         1         6         3         5         1         
Nojus          Adomaitis      5         10        2         10        1         4         4         3         9         4         2         6         3         10        6         3         
Liepa          Kazlauskaite   2         2         6         9         9         9         2         9         8         2         3         6         1         4         9         7         
Aleksandra     Leonaviciute   7         2         9         1         8         7         3         10        6         9         3         9         9         1         5         1         
Arnas          Adomaitis      3         7         5         10        6         4         4         2         10        6         5         8         9         10        5         4         
Aleksandra     Leonaviciute   6         10        10        5         5         7         2         2         5         2         6         6         7         10        1         9         
Ieva           Balciunaite    1         6         4         10        3         1         9         5         7         4         1         2         5         2         1         4         
Guoste         Kazlauskaite   5         8         10        5         6         5         10        3         8         1         3         1         9         2         10        1         
Aleksandra     Kazlauskaite   1         6         9         5         1         7         3         4         8         6         6         1         9         9         7         2         
Patricija      Kavaliauskaite 6         10        2         8         7         10        1         8         3         1         1         2         9         4         1         7         
Ieva           Pociute        9         2         5         9         5         8         9         1         8         3         10        5         10        2         6         2         
Aleksandra     Leonaviciute   1         8         5         7         7         6         10        2         3         7         9         7         9         2         8         7         
Ieva           Pociute        10        9         8         4         7         6         8         4         1         6         4         3         9         8         5         6         
Augustas       Navickas       2         1         8         8         10        3         7         8         10        2         1         10        6         10        6         9         
Sandra         Leonaviciute   7         4         5         1         8         1         9         9         4         10        7         4         9         10        10        9         
Deivydas       Mazeika        10        6         4         8         6         8         1         8         6         3         7         5         8         3         1         2         
Liepa          Butkute        10        7         1         3         4         7         9         6         1         6         7         9         4         8         4         4         
Patricija      Leonaviciute   7         6         5         9         2         1         7         8         8         3         8         2         3         10        5         10        
Karolina       Balciunaite    2         8         6         5         8         2         9         9         10        6         2         7         7         3         4         6         
Nojus          Butkus         3         4         9         9         6         7         6         4         10        4         9         7         5         7         3         8         
Aleksandra     Balciunaite    7         4         8         8         2         4         6         3         9         8         1         2         4         9         4         1         
Patricija      Kavaliauskaite 6         9         1         10        3         10        9         5         2         9         3         9         2         1         9         7         
Augustas       Urbanavicius   9         8         5         5         3         7         3         1         1         10        4         3         2         6         1         7         
Aleksandra     Leonaviciute   6         9         10        1         1         8         10        8         2         1         5         1         6         7         4         9         
Marius         Mazeika        2         3         6         4         1         3         3         3         8         2         7         1         7         6         6         6         
Deivydas       Kazlauskas     8         8         1         2         2         6         5         5         5         7         5         6         1         5         4         7         
Marius         Butkus         3         7         5         5         8         5         9         2         6         10        7         10        10        10        1         5         
Jokubas        Butkus         3         5         1         5         7         2         3         4         9         8         7         4         5         4         4         6         
Deivydas       Kazlauskas     6         9         1         10        4         6         10        6         9         10        7         5         8         9         1         2         
Vita           Kazlauskaite   2         7         8         6         8         2         6         9         6         9         9         7         5         7         3         4         
Robertas       Urbanavicius   3         4         5         5         4         3         9         1         2         6         2         9         6         5         1         5         
Liepa          Kazlauskaite   7         9         9         9         6         1         4         2         6         8         9         7         3         8         4         1         
Aleksandra     Jankauskaite   3         8         7         10        5         9         3         1         9         7         3         1         10        2         10        10        
Ieva           Kavaliauskaite 5         9         1         9         8         2         2         10        9         9         2         6         3         2         6         8         
Aleksandra     Kavaliauskaite 6         6         9         6         7         6         2         10        7         6         10        3         2         4         1         8         
Guoste         Lukoseviciute  2         3         3         4         2         2         3         2         10        2         5         5         4         5         10        1         
Arnas          Butkus         2         5         5         1         8         4         1         8         10        10        8         5         10        9         8         4         
Nojus          Jankauskas     10        4         5         6         10        2         1         4         8         6         3         6         4         7         6         4         
Liepa          Pociute        10        5         3         2         1         9         2         10        6         6         10        8         10        9         5         7         
Smilte         Petrauskaite   1         5         7         6         5         5         1         3         9         4         9         5         5         3         3         4         
Marius         Adomaitis      7         3         2         7         1         6         9         4         9         5         5         2         7         10        5         7         
Robertas       Butkus         8         8         5         10        10        9         3         7         4         3         10        1         5         5         9         2         
Deivydas       Jankauskas     10        5         2         3         10        9         3         9         1         9         6         5         10        1         7         9         
Nojus          Mazeika        2         5         10        5         8         1         10        5         4         6         6         10        4         2         2         9         
Aleksandra     Jankauskaite   3         6         6         7         7         9         6         10        8         6         8         4         3         9         6         6         
Vita           Lukoseviciute  3         2         5         1         8         6         9         9         8         6         2         1         4         4         3         2         
Arnas          Jankauskas     9         2         7         5         1         3         10        9         4         8         7         2         7         8         8         9         
Patricija      Butkute        6         7         1         7         2         5         5         10        10        9         7         6         7         2         9         5         
Liepa          Pociute        3         8         5         3         6         5         2         7         5         7         9         2         10        8         7         2         
Smilte         Lukoseviciute  5         9         7         8         3         8         8         8         1         8         4         1         2         7         3         3         
Aleksandra     Petrauskaite   7         2         4         6         5         9         10        2         10        2         8         10        8         1         3         7         
Smilte         Leonaviciute   9         8         4         5         9         7         9         3         10        4         9         1         2         6         9         3         
Aleksandra     Petrauskaite   10        3         10        9         10        4         2         7         9         6         8         7         4         3         8         2         
Sandra         Jankauskaite   3         5         8         8         4         8         8         4         10        2         6         7         9         1         4         6         
Patricija      Jankauskaite   5         7         7         6         5         9         6         1         7         3         3         1         10        10        3         7         
Matas          Urbanavicius   7         8         3         7         7         2         6         6         7         9         8         10        5         9         3         9         
Tomas          Jankauskas     8         3         7         5         5         8         8         10        5         6         1         10        2         4         6         1         
Marius         Kazlauskas     8         5         3         1         2         4         9         5         10        6         4         8         6         3         9         2         
Liepa          Butkute        6         10        7         4         6         6         2         1         5         6         6         3         2         8         4         10        
Arvydas        Sadauskas      1         5         8         3         8         3         10        10        6         8         4         10        9         3         7         8         
Deivydas       Adomaitis      8         9         7         6         10        8         10        6         9         4         4         9         6         2         1         7         
Guoste         Kazlauskaite   1         1         4         6         8         4         8         2         3         9         4         5         2         9         10        3         
Augustas       Kavaliauskas   4         9         1         6         6         7         1         3         10        6         1         7         8         4         2         6         
Guoste         Leonaviciute   6         9         5         6         5         3         3         7         5         2         3         3         6         2         9         8         
Nojus          Sadauskas      10        1         9         5         8         3         3         2         8         2         6         1         8         4         5         5         
Nojus          Butkus         7         1         4         2         9         5         6         6         8         5         9         8         5         5         7         10        
Smilte         Jankauskaite   3         5         5         4         3         8         9         2         7         7         2         4         10        8         7         4         
Guoste         Vasiliauskaite 9         5         8         5         10        8         9         2         8         6         7         2         7         8         6         9         
Liepa          Vasiliauskaite 6         5         4         5         10        5         6         2         9         4         6         8         7         2         8         7         
Matas          Jankauskas     3         4         2         8         4         7         6         4         8         9         4         5         4         1         10        6         
Marius         Sadauskas      3         7         8         10        5         10        8         3         4         9         7         4         3         3         10        4         
Vita           Jankauskaite   2         6         3         9         5         2         10        6         4         1         1         6         5         3         4         8         
Augustas       Urbanavicius   3         10        8         5         7         4         1         5         4         9         7         4         3         4         3         8         
Deivydas       Urbanavicius   9         3         2         4         5         8         2         5         1         8         9         3         10        3         6         2         
Tomas          Kavaliauskas   6         7         2         10        4         2         4         7         2         5         2         9         3         4         4         10        
Karolina       Vasiliauskaite 4         1         1         4         3         3         6         2         8         2         4         9         1         5         10        1         
Arvydas        Kavaliauskas   8         6         10        4         7         7         3         5         1         5         4         6         1         2         5         7         
Smilte         Butkute        8         2         10        1         5         5         9         3         10        7         8         4         5         2         9         1         
Vita           Petrauskaite   6         1         4         5         10        8         9         8         4         7         5         10        9         6         6         10        
Vita           Butkute        4         2         4         8         7         4         2         4         5         3         3         5         8         5         2         7         
Patricija      Lukoseviciute  10        4         3         7         7         7         1         6         8         5         9         7         9         2         3         7         
Arnas          Adomaitis      8         8         2         1         4         2         1         1         8         4         9         6         7         1         9         6         
Arnas          Kavaliauskas   3         1         1         3         7         2         5         9         3         1         4         6         9         5         3         9         
Ieva           Lukoseviciute  6         10        8         3         1         10        10        1         10        8         3         5         7         4         1         3         
Tomas          Butkus         10        6         8         6         4         5         6         1         7         2         8         3         9         9         4         10        
Jokubas        Mazeika        7         8         10        10        10        2         9         4         9         10        2         5         9         3         7         3         
Arvydas        Jankauskas     1         3         4         2         10        2         7         3         1         5         9         10        5         7         2         10        
Gija           Kazlauskaite   8         5         4         7         1         9         4         1         3         9         5         3         6         8         1         3         
Smilte         Balciunaite    3         2         10        1         1         10        10        6         6         10        4         10        1         7         10        8         
Sandra         Leonaviciute   1         4         1         2         2         7         2         2         10        4         2         3         9         5         3         5         
Deivydas       Petrauskas     2         9         8         4         7         6         5         5         4         1         7         6         2         8         6         4         
Arvydas        Kazlauskas     5         2         1         3         5         1         7         4         2         8         3         8         3         3         4         10        
Karolina       Kavaliauskaite 1         2         7         4         9         3         1         8         10        9         8         4         7         6         8         10        
Tomas          Mazeika        1         2         5         2         5         6         9         4         7         6         9         4         3         5         8         1         
Patricija      Vasiliauskaite 9         3         4         4         8         1         8         10        5         9         4         5         10        6         9         4         
Sandra         Kazlauskaite   3         9         8         3         9         4         6         5         7         3         1         6         6         3         1         4         
Guoste         Balciunaite    6         1         10        6         3         5         2         6         8         5         10        1         5         9         7         1         
Guoste         Vasiliauskaite 6         3         7         9         4         4         7         7         7         3         5         8         5         3         6         3         
Arnas          Jankauskas     1         2         9         3         2         8         5         3         3         8         7         2         2         8         2         5         
Arvydas        Sadauskas      6         10        1         10        2         5         10        6         5         5         5         9         9         9         2         6         
Tomas          Sadauskas      10        9         3         3         6         4         7         4         5         7         5         8         7         10        9         10        
Tomas          Sadauskas      6         4         1         2         4         5         7         2         6         10        5         5         8         10        2         4         
Tomas          Navickas       4         5         4         2         8         5         8         2         5         1         9         9         3         5         9         10        
Augustas       Mazeika        9         1         8         4         4         8         4         7         8         8         6         4         3         5         8         5         
Ieva           Jankauskaite   3         7         6         8         1         3         6         2         1         10        7         5         8         5         9         10        
Arnas          Navickas       9         7         4         4         9         4         3         1         5         7         1         2         3         2         7         8         
Karolina       Leonaviciute   1         10        4         3         10        7         6         10        3         10        8         9         8         7         1         5         
Nojus          Mazeika        3         9         6         8         6         9         3         3         3         7         2         8         5         4         3         2         
Aleksandra     Vasiliauskaite 3         6         9         3         6         7         9         8         4         9         5         8         2         6         5         7         
Karolina       Jankauskaite   2         8         9         5         1         8         2         9         7         1         3         9         2         4         10        10        
Jokubas        Urbanavicius   7         6         4         8         9         10        8         9         2         2         6         3         6         1         10        1         
Vita           Petrauskaite   10        5         6         3         4         4         3         6         6         1         7         7         9         7         6         9         
Karolina       Vasiliauskaite 1         1         9         6         3         9         7         9         7         10        7         5         4         2         3         4         
Tomas          Navickas       1         6         9         4         8         10        10        4         4         1         5         2         5         10        7         10        
Liepa          Kavaliauskaite 3         4         9         5         7         3         5         5         8         8         2         7         1         3         5         6         
Liepa          Kazlauskaite   8         2         9         10        8         6         5         4         4         6         4         1         9         5         8         5         
Gija           Leonaviciute   1         6         4         10        9         9         8         1         6         9         1         1         8         10        10        2         
Matas          Butkus         5         3         10        6         7         2         2         2         3         6         5         5         8         4         8         4         
Guoste         Jankauskaite   7         8         2         9         4         4         5         2         4         1         7         5         7         9         3         6         
Ieva           Pociute        7         8         7         4         1         6         7         7         4         9         7         1         3         6         5         5         
Ieva           Petrauskaite   5         8         3         4         8         6         6         9         8         4         6         8         10        7         1         5         
Augustas       Jankauskas     1         4         1         3         5         3         2         2         10        5         7         9         7         9         2         6         
Robertas       Mazeika        9         1         6         2         7         6         9         5         2         4         4         3         8         8         1         10        
Karolina       Kavaliauskaite 7         9         9         10        6         7         10        9         8         9         8         6         6         5         9         9         
Jokubas        Sadauskas      10        4         3         4         9         2         7         10        1         3         9         6         8         7         10        9         
Marius         Petrauskas     5         7         5         1         3         8         7         5         5         5         8         6         8         1         3         8         
Vita           Lukoseviciute  7         9         8         5         3         2         3         4         4         3         1         8         4         4         5         8         
Liepa          Balciunaite    7         9         5         7         9         1         1         2         2         5         2         8         5         9         3         7         
Tomas          Navickas       3         3         1         9         8         5         3         3         4         5         9         2         5         6         4         3         
Vita           Lukoseviciute  7         6         10        7         6         5         1         9         5         8         4         1         8         7         9         2         
Patricija      Vasiliauskaite 1         10        9         3         3         9         5         1         7         10        2         6         4         3         6         4         
Jokubas        Kazlauskas     9         10        9         1         1         5         1         10        1         6         10        1         6         6         5         1         
Guoste         Lukoseviciute  3         4         10        2         9         9         2         1         5         1         5         4         7         9         3         7         
Deivydas       Kazlauskas     5         7         4         10        5         8         2         8         6         5         4         9         10        3         2         8         
Augustas       Urbanavicius   1         1         9         10        5         7         9         8         10        5         6         7         9         6         10        6         
Sandra         Kavaliauskaite 8         2         9         4         1         1         8         7         2         5         3         3         8         5         7         9         
Ieva           Lukoseviciute  8         10        8         3         1         1         5         10        3         4         8         10        8         7         3         5         
Matas          Kazlauskas     3         10        7         4         8         4         2         6         5         3         2         3         3         6         2         2         
Vita           Jankauskaite   3         5         8         10        3         2         6         10        9         8         5         5         9         3         6         10        
Guoste         Balciunaite    7         8         4         3         6         4         2         9         7         2         5         1         4         1         8         8         
Robertas       Navickas       1         4         5         7         7         5         7         3         1         4         1         3         5         10        6         8         
Ieva           Pociute        4         10        6         3         2         9         4         3         8         5         5         8         6         2         4         6         
Arvydas        Navickas       10        1         2         10        1         8         1         6         1         8         6         5         2         3         9         6         
Jokubas        Navickas       2         8         1         7         3         5         7         4         3         4         7         5         7         9         6         10        
Gija           Kazlauskaite   9         3         6         6         9         3         7         9         6         4         5         1         8         3         5         8         
Marius         Butkus         6         2         2         6         8         1         2         2         3         6         3         9         2         5         2         1         
Deivydas       Sadauskas      7         8         10        1         4         3         4         8         9         5         6         10        2         7         6         7         
Augustas       Mazeika        1         4         2         2         7         3         3         10        10        8         3         9         4         5         7         5         
Augustas       Navickas       10        9         8         8         2         1         6         4         2         1         5         10        9         2         10        7         
Patricija      Kazlauskaite   10        4         4         6         2         10        3         3         6         9         1         10        10        6         3         6         
Arvydas        Urbanavicius   3         8         6         1         9         1         6         3         8         7         8         1         6         9         9         1         
Smilte         Leonaviciute   10        4         8         5         10        3         7         7         2         4         10        4         9         3         2         1         
Karolina       Butkute        1         1         3         5         2         3         4         10        2         6         3         6         7         10        3         9         
Gija           Butkute        5         9         2         3         9         5         5         6         2         10        1         4         1         4         1         6         
Matas          Jankauskas     2         1         9         4         4         10        7         7         9         2         6         7         2         3         7         10        
Aleksandra     Petrauskaite   9         10        3         2         5         5         3         10        9         5         4         7         10        7         2         6         
Smilte         Butkute        9         6         2         9         3         5         4         3         7         2         8         10        7         2         10        3         
Deivydas       Mazeika        1         10        10        10        8         4         4         8         10        8         4         8         10        1         3         6         
Patricija      Vasiliauskaite 3         7         3         6         3         1         1         9         1         4         8         6         8         4         7         4         
Aleksandra     Balciunaite    4         7         5         6         7         10        7         3         3         8         10        7         8         7         1         2         
Ieva           Butkute        9         7         6         4         9         1         8         4         6         7         4         9         10        3         4         7         
Sandra         Balciunaite    8         10        5         9         9         2         8         10        9         4         7         7         4         9         3         7         
Robertas       Mazeika        6         2         10        1         9         8         10        8         1         10        8         2         6         9         7         1         
Liepa          Kazlauskaite   8         2         1         9         9         6         6         9         10        8         3         10        2         4         2         2         
Vita           Balciunaite    8         10        2         4         10        1         1         6         8         5         5         3         5         10        9         3         
Ieva           Vasiliauskaite 7         9         2         2         10        5         2         10        9         7         1         5         3         1         8         5         
Augustas       Sadauskas      3         4         5         6         2         1         2         1         5         2         8         7         5         3         10        10        
Guoste         Lukoseviciute  9         4         9         10        8         6         7         2         9         10        1         5         10        1         1         9         
Aleksandra     Balciunaite    6         8         6         3         7         4         4         5         9         9         10        10        4         2         10        2         
Arnas          Urbanavicius   7         7         8         7         7         6         5         2         8         10        8         6         6         2         1         4         
Gija           Butkute        9         5         10        4         7         10        3         10        10        6         2         4         4         1         4         5         
Smilte         Lukoseviciute  6         6         5         6         3         1         6         3         4         6         6         2         1         10        8         7         
Guoste         Pociute        1         8         10        5         1         4         4         1         4         9         4         9         10        6         4         7         
Marius         Adomaitis      9         9         2         5         7         6         5         7         8         4         2         8         8         10        8         6         
Aleksandra     Balciunaite    7         1         7         6         4         9         1         3         9         8         6         10        3         3         2         1         
Smilte         Leonaviciute   10        1         2         5         1         7         1         8         9         10        4         1         4         2         3         9         
Sandra         Pociute        3         4         4         2         2         8         6         7         1         4         3         4         7         7         5         6         
Deivydas       Butkus         6         4         9         6         9         7         2         5         7         8         5         9         3         5         6         7         
Gija           Kavaliauskaite 8         7         2         1         6         1         5         6         3         4         3         1         7         8         6         2         
Vita           Kavaliauskaite 9         1         5         9         5         2         3         7         4         10        10        7         4         8         6         3         
Vita           Jankauskaite   4         2         6         5         1         3         10        9         6         9         3         9         5         8         9         4         
Nojus          Petrauskas     1         1         1         10        1         10        3         1         6         9         2         8         8         5         4         3         
Nojus          Kazlauskas     9         8         3         3         8         6         10        9         3         6         8         4         7         3         1         5         
Aleksandra     Kavaliauskaite 5         1         3         10        4         10        3         6         7         2         9         6         4         8         1         9         
Sandra         Kavaliauskaite 7         9         5         1         4         9         2         8         2         3         8         3         2         2         8         1         
Patricija      Lukoseviciute  2         9         8         6         4         8         9         4         1         4         2         7         8         5         10        6         
Ieva           Balciunaite    5         2         2         1         3         1         7         8         3         7         6         2         8         7         7         8         
Robertas       Sadauskas      6         3         6         9         6         1         3         9         8         7         1         8         4         1         9         1         
Marius         Petrauskas     5         1         3         1         6         5         5         8         10        2         8         5         10        7         2         2         
Karolina       Pociute        1         10        7         9         2         4         4         4         9         2         2         9         1         7         3         3         
Matas          Kazlauskas     3         1         8         4         4         1         7         1         10        9         7         5         10        2         9         5         
Nojus          Petrauskas     5         9         10        6         5         5         1         9         3         3         2         1         7         1         6         6         
Deivydas       Urbanavicius   5         10        7         8         1         2         8         5         1         5         9         5         1         8         1         2         
Matas          Kavaliauskas   4         7         8         5         6         4         4         7         4         3         9         10        8         2         5         2         
Matas          Jankauskas     10        5         9         1         7         2         4         6         2         7         3         7         9         2         4         5         
Tomas          Butkus         9         6         7         6         4         2         9         8         8         7         1         9         8         3         10        3         
Guoste         Pociute        5         10        3         2         1         9         6         8         8         4         1         5         6         5         5         9         
Ieva           Kazlauskaite   2         10        3         1         9         7         7         9         2         1         1         3         6         4         2         3         
Tomas          Butkus         10        2         3         6         3         4         9         3         2         3         4         9         5         9         8         4         
Matas          Jankauskas     6         7         10        5         6         10        2         1         9         6         4         1         10        8         9         5         
Smilte         Balciunaite    7         2         9         1         5         4         9         4         4         5         3         2         10        1         2         7         
Ieva           Petrauskaite   2         7         4         8         6         1         4         7         1         9         1         5         3         4         6         9         
Jokubas        Navickas       2         5         3         1         6         1         1         7         4         1         3         7         6         4         8         10        
Smilte         Petrauskaite   6         5         8         4         10        1         6         2         6         1         7         6         6         9         2         1         
Tomas          Butkus         3         10        10        3         2         3         8         10        7         6         9         1         3         1         9         3         
Karolina       Petrauskaite   1         10        5         6         6         5         4         7         1         2         5         6         7         5         6         4         
Arvydas        Kavaliauskas   5         3         6         7         10        6         1         3         1         10        3         8         1         2         3         8         
Patricija      Kavaliauskaite 9         2         6         3         6         4         5         1         10        7         5         4         7         6         5         9         
Liepa          Lukoseviciute  5         8         4         4         1         8         9         9         1         10        8         9         8         1         8         9         
Robertas       Mazeika        10        7         3         10        5         2         2         3         5         7         8         3         4         8         1         9         
Arvydas        Kazlauskas     4         10        8         6         7         4         3         8         6         7         8         1         2         2         3         9         
Deivydas       Adomaitis      6         2         7         6         4         1         10        5         4         9         6         6         4         2         5         6         
Tomas          Butkus         9         3         7         2         8         10        10        7         5         2         3         9         1         2         8         4         
Arnas          Kazlauskas     7         1         6         10        5         1         4         8         8         9         3         5         8         6         1         7         
Arvydas        Urbanavicius   7         9         10        9         1         3         4         3         6         10        2         7         8         6         3         2         
Guoste         Lukoseviciute  10        5         1         9         9         5         9         4         6         3         3         1         3         8         2         1         
Sandra         Pociute        8         10        5         5         7         6         6         10        3         6         5         3         1         9         2         8         
Smilte         Balciunaite    8         9         6         6         8         9         8         2         8         9         6         3         4         4         4         8         
Tomas          Urbanavicius   10        2         3         4         7         4         8         2         5         2         4         1         2         9         8         8         
Guoste         Leonaviciute   1         2         3         6         1         5         10        9         7         5         1         10        4         1         7         4         
Guoste         Balciunaite    1         7         2         5         5         4         10        2         7         10        10        8         6         6         2         5         
Sandra         Kavaliauskaite 2         4         2         4         5         6         9         5         3         8         10        3         9         5         9         5         
Arvydas        Kavaliauskas   5         10        6         1         5         2         9         6         10        5         10        6         9         9         7         9         
Liepa          Vasiliauskaite 8         1         1         7         1         5         2         4         6         6         10        9         9         1         3         2         
Smilte         Kavaliauskaite 6         9         9         1         2         4         3         10        2         6         8         9         9         7         5         7         
Gija           Lukoseviciute  7         8         6         1         6         2         3         3         3         2         6         3         7         1         7         8         
Vita           Jankauskaite   3         6         5         8         8         10        9         7         6         4         8         1         3         7         10        8         
Patricija      Vasiliauskaite 5         4         2         6         2         9         5         6         8         7         7         3         3         5         1         1         
Aleksandra     Kavaliauskaite 8         7         7         8         7         5         3         4         8         9         1         5         1         1         7         10        
Guoste         Jankauskaite   9         8         9         3         3         1         9         4         8         7         3         8         4         10        4         10        
Vita           Lukoseviciute  4         10        4         10        8         5         10        3         10        7         1         7         1         1         2         6         
